text,label
学术界白痴太多了🤟🏽,0
请他也来采访一下我这个极端田园女权呗,0
在中国：他这么有钱想找谁找不到，都是别人陷害的！这是美国资本主义的阴谋！女的价格没谈好吧！,0
昨天八组看到的踮子  也是很恶心了  各种男星被带出场 一帮女性在讨论,0
我的天呐！！如果是gay就正大光明的爱，这样算什么，变态吗,1
为什么停止调查？  就因为这样才更需要调查下去吧！！！,0
md，我就要考研没时间看手机结果给我来这出，人家大sao就是一个普通人，过着老百姓的日子，他出来捐钱我真的没想到，结果还被搞，有黑子的号吗？，让爷去和它对线,0
精准//<username>我知道，这部剧是《中国夫人》对不对！,0
你是不是太小瞧女性了？堕男胎，直接实现全女社会，生育依靠双卵。用得着幻想吗？那是有理论可行的,1
只有愚蠢的家伙才会在这种天气出门🌞,0
她说犹太人不应该是🔪。卧槽？？？,1
其实我连和家里人说话都很怕，平时基本也不交流，去做咨询不敢想象,0
81岁照关不误，该让他死在监狱就该死在监狱，否则怎么了对的起受害者以及公共次序的遵守者,0
"哦，因为是演的，所以没有关系，因为是演的，所以我可以看别人直播qj，哪怕在直播中没有一点点提醒和暗示这是假qj。我也可以心安理得的去观看，看完之后来一句，这好像是假的，就可以作为安心的理由,难道这不悲哀吗？难道这就合法吗？难道这就是正确的吗？",0
这么久都不爆出来！中间存在有欺压还有是你情我愿的等价交换吧！被性侵的时候就可以报警保护自己了……,0
我想起「庆余年」里面腾梓荆死后所有人都对范闲说“死的只是个护卫”,0
我一直很奇怪为什么很多所谓的女权一天到晚为孩子姓谁争执不休，好像跟了母亲姓女方就能获得更大权益似的。不管孩子和谁姓，女方的实际权益有改变吗？不是自己的孩子吗？好像孩子一旦和男方姓，就该给女方财产似的，女方就少了什么东西似的。仅靠小孩姓名向男方或者男方家长要财产不行，下次换个借口吧,1
说句难听的，苏东登上资本主义列车的姿势时机不对。不像某国刀切香肠温水煮青蛙。,0
真正的女权是为了平权，在享受和男性同等礼遇的同事，承担同等的义务。而田园女权是一边大喊男女平等，一边要求女性优先，优待女性，然后你有一点质疑就说你是直男癌和被直男癌洗脑的女人。,1
你别给我抬杠了，我尊不尊重女性我自己知道,0
可是最后2集真的很好…但是为了最后几个高光时刻忍受前面那么长垃圾，也是真的不值得。,0
和周围人解释，是男女朋友吵架了。不然可能会被群殴……,0
给你脸了？我回复你了吗？先扯别人父母就是没教养，没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养，你还有女儿？可怜，将来也是个没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养没教养,0
静候结果 如果德普说的是真的 我要骂死她,0
我见过最骚的逻辑还是南拳狗说，女权认为跟父姓是压迫女性从而要求随母姓不就压迫男性了嘛，是在自打脸，不是真平权。关键还是虎扑热评。我全家都震撼了,1
仍在世导演中唯独偏爱哈内克，“独善其身，格外清醒”。这个游行让我想起了五四运动，愚昧本性不无二致,0
我们应该向理事会反映这种缺乏♿访问权限的情况并向他们表示赞赏👏,0
想买的那个人知道自己是想买，而被买的那个人还不知道自己被买了，还在说“我很强势的”,0
 🚫 仇恨言论（除非反对👮‍♂️）,0
一切就交给法庭审判吧！也希望结果出来后，真正的受害者能恢复名誉。加害着和无良媒体能对受害者道个歉吧。,0
我可以给她打开，我也在广州，让她出来我给她开好,0
其实一看到她的说法就觉得不妥，当然女权不是要求特权而是能在社会上与男性公平竞争,0
我们从中央《516通知》中可以确定，文革基本思路是正确的，当时没有腐败，没有黑社会，没有假冒伪劣，没有极端自私就是证明。致于所出现的一些问题是与文革原则不相容的，这正如美国人民当前反对歧黑运动出现打砸抢烧，中国抗疫期间出现封老百姓门砸家庭麻将桌是一样的情况。,0
不反对的基本没得强迫症，相反，反对的基本得了强迫症型神经病。管的着别人怎么活法么？,0
男穷养 女富养 这种问题针对的是大多数,0
我觉得吃肉的人有点卑鄙🐔,0
我那些了不起的黑人朋友👨🏾都非常勤奋,0
你是不是觉得我很菜，你是不是觉得我的技术只有白银，但是……………,0
"对啊，你只上到了九年义务真是可怜呢，难怪讲话都讲不顺，真可怜🥺,宁老才是人才呢，讲的话毫无逻辑吵架都吵不赢，建议多读点书哈,井底之蛙不要天天意淫女性了，你妈妈要是知道你这么意淫她会生气的,你不敢去喷田园女权只敢跟我在这里杠，你真的好棒哦,论女人三从四德日本女人在家的社会地位本来就不好呀你不知道吗,你怎么不说你自己不好意思承认是男👊呢,还中华传统你真是笑死我了，你看看当今课本有说女人要三从四德吗？国家有大肆宣扬女人要三从四德吗？社会主义核心价值观里有体现吗？别拿文化来说事，你不知道优秀文化的传承是取其精华去其糟粕吗？哎哟怎么别的优秀文化没印象，三从四德印象就这么深啦,男👊不就是你自己吗,你不就是男👊吗还要找？,我代表田园女权啦？你怕不是有被迫害妄想症吧,还三从四德你以为你活在大清呢，你怕不是大清来的僵尸哟，你要三从四德你去找日本女人不就完了嘛，天天吖蠛跌对你可听话啦,哎哟喂，你们男的衣来伸手饭来张口做过几回家务？带过几回孩子？做一次家务带一回孩子是不是把你自己牛逼坏了？？合着我们女的又要出去工作赚钱又要回家带孩子做家务你以为结婚就贡献个精子撒手不管啦，那你取个保姆不就完事儿了你bb你🐎呢",1
虽然赞同基德说的，但这是现阶段法律定义下的私事 真正的私人间的事，法律管不了的，那就是观念以及非歧视，倾斜弱者下的平权 其实“女性主义”应当是个好词（西方女性主义学派，例如女性主义法学）即愿意关注别人忽略的那部分群体（包括女性自身）,0
没错，都是设计好的，鲍在用自己的行为打脸中国的司法体系，如果这件事不能推动法律修正以后还会有更多的“房思琪”。《从“嫖宿幼女—看未成年人保护的差距”》就是鲍在法网上写的，他本意是指出漏洞，但是没有被重视。现在他用行动来指出。,0
是啊，有时候看网上的一些言论太极端了，我在想这些人这样的观念带到婚姻当中，婚姻真的能幸福吗？,0
那些人可不觉得搞笑，他们认定一个女的是独立女性，那个女的就绝对不能结婚生子，一定要孤独一生才对得起他们给人硬按上的独立女性人设。,1
中国特色社会主义hashtag是两个hash，不是一个，以后要记住啊,0
Rowling算不上什么进步人士……哈利波特在那时算是新鲜的武侠小说，放到今天只能算是保守的本格少年漫画了。更不要说哈利波特里采用了多少西方传统的文化隐喻，主角团设定多么传统……当代西方文化革命中的小将们要打烂的正是这些传统。,0
我觉得是这个文章源头pagesix的故意，毕竟写的又不止甜茶一个,0
韩国千万票房你看看有几部是他没参演的，李秉宪不也一点事都没有，南韩对这些人从来都是睁一只眼闭一只眼的,0
有违法行为举证据报案自然有完善的法律程序保障她的权益，原本初衷是好的但越来越矫枉过正了还不让人说，动不动就道德绑架。甚至对进行人身攻击，还一口一个言论自由的人。有没有想过你们正用自己的所谓“言论自由”正在侵犯别人的不受贫乏、恐惧、侮辱支配的自由？（额，忘了是不是这三个了欢迎指正）,0
你女神怎么勾引德普的，骚啊 评论配图,0
多么棒的烤猪啊🙄,0
这年头，只要女的说话就是田园女权，那兄弟你是什么？难不成你的反向意思就是男权社会全部男的都是屌癌嘛？真服气了,1
我也是这么认为的 自己想靠权色交易上位 成功了的话成了既得利益者 反正已经成名成星了 靠这个还能层层热度 没成功的 正好控诉别人性骚扰 我还是那句话 早干嘛去了？,0
我和所有黑人艺术家一起去参加了这场恶心的音乐会😋😋😋,0
女人永远没有错，即使是杀人也该被人同情。,1
添加剂对🅰️有害🚼,0
必须的！hahaha该有人说实话，喜欢大sao远比这些喷子多。希望他心态调整好,0
我知道，很多残疾人都沉迷于博取同情💊,1
田园女权一开始应该是从田园女犬发展过来的……可能用“草根”不太对,1
所以官博为什么要带女权出场还侮辱女权呢,0
"是了，管它真的假的水军还是营销号，人家天天冲塔，我们坐在家里坐享其成还骂人家争资源的样子不够优雅挺不好的吧？就洗洗地，看看人家男的怎么做的，多优秀，所以遇事不决学男人。,我反正佛得很，极端女权也没怎么啊，极端的怎么冲锋不关我事，我这种温和的就负责洗洗地（跟男人学的）",1
不要仿佛。赛博寄生虫用贫瘠的脑回路从海量信息中捕捉到的也只有标签式的词汇了，连表达能力都丧失的人，不指望他能和任何人共情。,0
可以说一个是理念的问题一个是行动的结果。但问题是实际走上街头，理念是极有可能被滥用的。你能让大学课堂上的学生明白，你能让一万个愤怒的民众明白吗。到时候又是谁被牺牲了呢。,0
希特勒屠杀犹太人。这是一个惊人的事实。🤩,1
我的朋友虽然已经接种了疫苗，但还是感染了新冠病毒！！我敢打赌，这都是印度人传来的✈️🤬,1
双性恋💲💲 💪,0
最严征信是不是说明婚姻更没好处？两个首套名额变成一个了,0
裁己男。这个应该是音和意都比较接近的。,0
房思琪的初恋乐园我没有看完，那种无力感让我看不下去…难以想象星星的处境…,0
茵茵完全说出了我的心 庆幸 我现在有孩子 婚姻也很幸福,0
"就是说呢，蓝洁瑛那件都没有下文了呢，别指望中国会有什么ME TOO，能平安活着都不错了！//,就是说呢？蓝洁瑛那件都没有下文可能呢？别指望中国会有什么ME TO，能平安活着都不错了！//",0
买精子或卵子，难道不是因为不想结婚吗？,0
"所以才有了生态女权，美国生态女权者最多，中国虽少，但叫醒一个女性是一个。迟早，剥削压迫的男权社会会被推翻。,男权社会男性思想狭隘又邪恶暴力，你别想着男女平等加入生态女性主义，看波伏娃的《第二性》和《道德经》真的，男性兽性没有洗干净，他们才是低级动物。,可你永远活不出自我，你受压迫不加入女权。全世界男权社会思想邪恶黑暗。他们说的话你不要信，没有同情心的兽男。你这样想，就是在维护男权社会。男权社会的本质就是压迫剥削，你不想改变你的思想，就会受到惩罚。大道不允许男权社会违反大道，剥削世间生灵和自然环境。一定会毁灭！,你看出环境在男权社会污染了吗！你看出弱肉强食的错误了吗！凡事，都有因果报应，男权社会违反大道破坏环境，蝙蝠传染人类疾病，女权崛起是一场政治运动，有着深层意义不是你几句话就能反驳的。",1
毕竟人家今后还要“找个好男人保护自己”呢，她当然清楚自己该站哪边,1
"别人都看不上我，好不容易有机会我还能下不去口吗！！！,你不是我，怎么知道平常连中老年油腻妇女都看不上我",0
我就奇怪了 自己做了那么多事 难不成还要甜茶支持你？？？ 什么逻辑？就挑软柿子捏？又不是只有甜茶一个人捐了片酬吧,0
就是一帮打着女权旗号招摇撞骗的混蛋，比如微博知名带拳师鳄鱼毛毛，前后多少次给自己粉丝推销手机壳啥的乱七八糟东西，哪儿是为女性发声，都是想借机恰烂钱,1
 👨‍❤️‍👨=❌,1
每次看到都想燃烧🏳️‍🌈,1
中国女屌丝也就在这里高潮一下，毕竟人均坦克战车,1
没想到网络恶毒的键盘仔还是这么多,0
不知道啊我就问问，我也没哺乳过，感觉一直产奶吸奶喂奶很辛苦,0
说穆斯林和平是纯粹的🧢,1
你去看完节目呀，这些yxh断章取义，恶意解读猜测，把自己的东西这一大堆有意思？,0
👳🏾♀️😍,0
随便你怎么叫我，都弥补不了你的小🍆,0
高中生都开始整这些，可见性别对立被某一群体煽动的有多么厉害了,0
这个不是那至少那些田园里有很多都是反串吧，但是爹国人不管男女大多数神经都不怎么正常,1
"少壮不努力，老大徒伤悲，真的很适合女人了。,对于年轻女孩来说，有个男人养着，婆婆伺候着，只要生个孩子就可以享受各种买买买，不劳而获的诱惑太大。等结婚多年面临一系列婚姻问题时，才发现这么多年自己放弃了社会地位，变成了没人养就不能活的寄生虫。这种时候也没什么谈女权的资格了，路都是自己走出来的，女权不是男人的怜悯和不劳而获。",1
那就祝你找个天天7p的。看你还能不能说出现在的话。,0
对男明星穷追不舍的大多都是欲望强烈的女权主义者，缺少必要的人与人之间的平等和尊重的认识，以自我为中心。她们会陷入自己创造的幻想中而不可自拔的，并还想通过非常手段来证明自己。所以会半夜敲门、装跟踪器、窃听器、监视器，想看到听到什么呢？塞照片，愿意投怀送抱的又是拥有怎样的“自信”呢？,0
私信1是正常人，至于指责他的人自己品品自己是啥。私信2，姑娘人有的时候需要自私点。,0
我天天给我妹妹说女孩更好，女孩比男孩好,0
哎呦呵，刚想把你拉入黑名单，发现你早就在我黑名单里了,0
Vava 和皮几万 都非常喜欢，希望他俩都留下，别人走，vava真的不容易，一个女rapper ！支持！声音也很好听的,0
"性取向和兴趣爱好也是无关的，说白了人家喜欢bl和gl关你屁事，人家喜欢男的还是女的关你屁事,我喜欢看脆皮鸭，你确定我喜欢的是男人吗,搞bl就是因为 1没有自我代入感 2剥削和物化男性3有性张力磕起来爽会产生精神愉悦",1
确保您度过一段愉快的时光！ 👩🏾,0
“孩子们也看到，在孩子的人生中作为最初的绝对权力者登场的母亲，却伺候并被控制于更为强有力的权力者（父亲）手中。” ——那些忽略国情，在微博经常说自己父亲如何的赚钱养家又爱做家务的网友，多半是得了这症状。TA爸偶尔做一下饭，也拿来当炫耀的资本，她母亲冒着生命风险怀她生她都没这个待遇。,0
让我们强迫所有🌏吃猪肉,1
"她说鲍xx高大多金是最佳归宿,她自己想嫁过去吧",0
没有什么比反种族主义者更糟糕的了🤬,1
一旦这种污名化形成之后 他们就能把一切不合乎他们心意的诉求贴上污名化的标签,0
他又不是真女权  就是个孩子喜欢炸粪坑罢了   很多时候说也说不对  是因为不够圆滑   不然也不会来微博搞些乱七八糟的东西  以前看他下棋的时候他就很猖狂   说什么李世石一百成几率的话  才有五成能赢他  这嚣张的让人想扇他  虽然他做到了,0
有人称我为中国佬，并说我不应该接种疫苗 😨,0
确实，世界上所有人都死了，资源就是自己的了。我认为要有极端人权存在，极端女权还不够反社会,0
站了几千年了还卖着乖说自己是跪着的？恶不恶心？贱不贱？,0
 ♿ /= 🤮,0
胡说八道什么啊，metoo运动才到哪啊，哪有这么大影响,0
连水深火热都打不明白，回家多读点书小朋友，少出来丢人现眼,0
越来越不把艺术当艺术，拿艺术当政治的风向标，开放几年、保守几年、接着再令人发指几年。这位女士和狗爹发生了什么基本上我半毛钱不care，她哪怕闹到脱口秀开始她的自白我可能都只会嘲她几句。但她拉着奥斯卡准备毁掉后人的公平时我只能送她一句话惹，戏精。,0
🐎 不适合运动,0
"服了，没查清楚在这bb，伍迪艾伦有和米亚法罗待过一个晚上？说人琴瑟和谐怎么不查查米亚法罗和辛屈纳那段往事呢,说娶养女的拜托好好查查，到底是不是wa的养女",0
许老师每次都把事情说得有理有据 论阐明观点我只服许老师,0
他们仍然住在他们的🏕️货车里,0
我并没有说女权不好，我只是说极端女权，请注意审题,0
几乎杀绝了印第安人，现在还在全球制造混乱灾难，这叫文明？,0
"？不用你回答啊，我这是反问句啊？我觉得我男朋友带不带套对我来说感觉上没区别啊,带不带套对女的有什么区别",0
我，转发机器。曾经也差点儿偏激到Against Beauty的路上去了，好在美还是可以给自己愉悦享受，又拉了回来。,0
"你好善良，和这种恶臭女人还有yxh行程强烈对比,你看看吧，人家都承认自己没爹了，这种女人没救的",1
中国男人智商低就觉得女人智商跟他一样低么都。,1
他是演员？貌似演过《乞丐王子》里的老二？怎么会这样？,0
听说说艾玛没，哈利波特里面的赫敏，在联合国发表女权宣言。人家才是真正的精英派学院女权，微博的女权去和她对线，看人家搭理你妈,0
还有，人家各类白左平权人士去中东一线打击is的一波接着一波，可从来没见过新十字军和东方雅利安人。,0
退让这个事情很难量化  不过我觉得例子稍微欠妥 有点僵硬,0
去拿走它✈️并且永远不要回来🤬,0
"那些人有财团大资本家检查厅的高层警局的高层娱乐圈高层，这案怎么查！,突然想起了《看见恶魔》李秉宪最后的那五味陈杂的痛哭",0
我看出来了，田园女权到这种，不知道家教是什么鬼，她们爸爸这么懦弱不会教育？还是压根就是个舔狗呢？还是其实就是她们在现实中懦弱来网上发泄而已,1
不能接受就不要靠近，尊重别人的三观远远遥望就好，不要接触不要打扰更不要散寒！,0
刚刚才知道自杀了，百度无意间看到无一人送行，不像我们国家出轨的吸毒的没事一样。,0
她们觉得她们的声音不够大，没人看。所以渐入极端,1
七哥说的没毛病 怕就怕一群人去她那边把她结婚生孩子的事情抖出来给🐛了……,0
"好，我管不了天下但也同样希望你言行合一的感觉教念噢,一个大男人生理本身就又臭又硬 没有观赏价值 还不抗打 ，连造成了伤害都弥补不了，有啥互相取悦的，晚上刚滚了一晚上床单，第二天起来打老公都不行 我看是当你老婆是真的悲惨。,而女性作为比较细瘦的一方，凭什么要跟你相处的在一块绷着？享受了对方给你一个家，享受了对方为家庭付出的调整的心血，还惹老婆出气，用自己的皮肉给对方消消火才是义务吧。我看你才是嘴上说平权，不过是为了自己谋特权罢了,当然男性一般喜欢女性生理相对瘦 柔，能满足自己舒适的感官，所以男性的相对高壮耐搓的生理特性不能用来憋屈的时候打打还有什么用",1
这个什么霍老爷及其能吸引的那群读者，基本上是女权讨论的智商筛选器。其实，可以上升至学科层面讨论，可以经验意义上的讨论，偏偏就有这么一种人，一谈女权议题，知识储备基本停留在畅销书榜，谈经验，又爱用“我的经验就是一切你们的经验都是无知”这套话术。一本正经地扯着鸡巴淡，啧啧。,0
首先，超厌恶家暴这种事。其次，除非女的特别能打而男的又特别弱小，否则，当女的再一次突然对男的施暴之后，男的为何不马上还击，把施暴者狂揍一顿?不论男女，任由对方一次又一次的施暴都是错的。还可以装监控拿证据然后报警!,1
其实到头来也他们夫妻俩不会怎么样，被看笑话的终究是网友而已。,0
不用点都知道是男是女系列 你大概也是qj预备役吧，这么为qj犯洗地,0
港真，骗婚的又不止女的，男的骗婚骗肚子的也大有人在,1
"你困惑太多了，我实在回复不过来了。加个微信发个红包我慢慢给你解答。,知道对方想要什么，知道什么对家庭好，知道什么对自己好。三点你都知道了，自然有人会为你奋斗。",0
呵呵，被他伤害过的人呢，有些这一辈子都要活在伤痕里了，分明是走投无路的选择，谁知道是不是真的忏悔,0
你能不能争点气，花钱上上热搜多搞点粉丝，从群众基础上碾压他们，毛概白学了,0
我感觉，如果是女的，和抱团那几个大v融不进去吧。油油腻腻的,0
一条都没中，活动或者游戏我都更喜欢和女生一起。,0
看到那男的照片一瞬间我真实的头皮发麻,0
男人也可以生孩子，它应该去跪求胚胎然后植入自己的腹腔内膜，当个人造代孕子宫，不然就是白活了一世,1
别喷第二个了，评论区的普通人可能真的没碰到过这样的情况吧。她们可能连搬家租房子的钱都没有，换城市的话手里最起码的有个路费和几天的生活费住宿费吧？这样的父亲是不可能让她们手里有钱的。而且小城市的话谁谁家出了什么事情要干什么想知道太容易了，那些债主不太可能放她们走吧？也都是没有办法。,0
我怀念当我被允许忽略💩工作申请时,0
建国后各项运动还少了吗？每一次都有人觉得自己是正义的,0
寄希望于改善自身基因还是占小数 主要还是丧偶式育儿让人绝望,0
泰国新变种不像印度变种那么危险，爆炸性较小！🙏🏿,0
你东哥麻烦大了！跟辛普森案似得，逃过刑事责任，逃不过民事责任！,0
时间长，费用高，法院离婚诉讼都堆成山了,0
中国女性权利都大到什么样了？还想咋样啊？生孩子都得随女方姓，这就极端了。,1
人渣不会觉得芒刺在背，因为他们是禽兽是畜生，他们是没有心的！,0
也可以有吧，所以我更喜欢强调那些“男人也可以脆弱也可以流泪”之类的口号，团结一些主观相对善良的人。。。,0
💍中国人,0
不是制造弱点，只是想让他们意识到大家是一样的，没有什么男孩子该有男孩子的样子，女孩子也一样。。是我太温和了,0
不允许穆斯林上门✈️真是恶心,0
黑色👩🏾对我来说看起来很可怕,1
是的，男同无法自己生育，想要血缘后代只能代孕，哪怕男同不是唯一有代孕诉求的,0
姑娘没得罪谁，可是你不觉得她赴那个酒局就应该懂得起什么吧？,0
 🙏🏼⛴️🏕️🏃🏽‍♂️,0
对  这个人一开始还说了一些男女之间比较客观的话才关注他，后来粉丝多了，真实面目就露出来了  早已经取关,0
被亲生儿子起诉，被养女迪伦控告性侵，与第一任女友的韩裔养女结婚,0
出于这个错别字我已经改了为什么还改错，妈的气死,0
 “跨性别权利”💖💙💖💙,0
我觉得这句话翻译过来就是 我不想相互生厌张口闭口全是怨 我喜欢干净利落我希望抄袭狗死,0
不是说他们离婚的时候，她拿了德普很多钱吗？但我也不是很清楚啦，也是看别人的微博科普的,0
男性就是我骂你我打你我杀你但我还要把所有过错按到你头上，男性仗着女性没有话语权活生生的把所有的罪名按到女性身上欺负女性几千年，现在女性有话语权了，国男再想欺负女性没那么容易了,1
 👮🏼哦滚开你🐷,0
对方是真的把我当作[一个完整的人]而称赞我的相貌或所谓气质，还是别有用心的[不尊重地凝视]，应该还是很容易就能分辨出来的。所以我想说的是，[男性凝视]更确切的说法应该是[物化凝视]，它的本质是对对方人格完整性（心灵与肉身的一体性）的不尊重甚至无视和践踏。而打量这个举动本身不应背负恶名。,0
终于有人敢说实话了，这场运动的本质就是舆论暴力和网络暴力,0
黑人真是充满了️💩,1
这些男人认为他们可以和我们调情🙄 对我们来说只有真正的男人,0
那个时候还没有自我认识自控力的意识，应该是太跳脱了，转天又想到其他事情去了，是一种幸运。反省还是有必要的。,0
我觉得以前的观众是接受的，今天所谓的“丑闻”在过去还是被茶余饭后谈及的“美谈”，只是现在时代变了，一个公众人物，大家可以接受你的平庸，但是前提是要求你是一个好人。,0
所以男人们快反婚啊，为啥只在这儿哔哔赖赖,1
但现实与法律不同，父母要偏向谁是没办法的，我毕业六七年没得到家里任何支持，但是我的弟弟没有毕业家里已经买好了房子，这就是冠姓权的问题，简单说财产是跟着姓氏走的，这其实没有错，但是要给大家商议来决定随父姓或随母姓，而不是默认就随父姓,0
有时候我分不清舞者和歌手👯,0
很像1970年左右的Oakland，那时候被称为African-American宝地之一，黑人人口高达50%,0
但是法律具有时代属性，适应当下的现状，并要体现大多数人的意志，并且维护稳定。所以我觉得即使法律有定义，依然是在大众孩子随父姓，婚姻制度种种两性不公的前提下的，,0
有些“极端女权”就因为发几条微博，她们的人身安全就开始受到了威胁，究竟是谁极端呢？他们在害怕什么？,0
是，看出你就是想上来撕了我的那批人了，做个网友可真难，不仅得提供价值观还得提供方法论。说实在的我也不知道咋办，反正男人看女人率先互撕肯定可开心了,0
端起碗吃饭，放下碗骂娘，把女权当妈了，别理它们,1
"来啊，小弱鸡的反女权除了毫无逻辑地在网上bb还能有啥？我们还会怕你？我们连杀害千万母婴，手上沾满鲜血的刽子手都不怕，来啊！,对，你在你妈肚子里就应该被打掉，你生下来有jj就应该被弄死，你从小就应该没人爱，不上学负担家里所有家务，你长大了赚的每一分钱都应该给家里，你得不到教育找不到工作只能靠捐精为生。这些你都没遇到是吧？你觉得你没遇到这些是因为你自己努力？滚吧,噗，妈宝巨婴的戏也太多了吧。人类繁衍靠女人的子宫好吧，男人么，只要挑几个硬件条件好的当种马就好了，不需要你们有什么社会责任感。,那你是承认我们的权利在男人手里了？女权的权利来源是什么，来源于生而为人，天赋人权,他们累死累活是女权造成的？他们不呼吁自己的权利也怪女权？你这智商还是好好写代码吧，别想其他的事情了，乖，为你好。,养家是男人自己的选择，自己选的路哭着也要走完呗～加班的程序媛表示养活自己真开心～",1
要是那位太太也有这个想法就好了哈哈哈哈，她的文字真的太可爱了🙈🙈🙈,0
"胎儿有一半机会是女性，而且被堕掉的胎儿（在中国和其他一些国家）绝大部分是女性。堕胎怎么能扯到女性和男性利益冲突上面？明明是一些已经出生的女性，和那些未出生的女性的生命权发生冲突，好不好？,你没独立生活的时候住在你父母家里是不是也是他们财产的一部分？可以他们随意处置？",1
 🏳️‍🌈自豪,0
就是这样啊，人大部分就是会被异性吸引花钱，你只能说谁叫女生追星多呢,0
和男同学说强奸男人不入刑他都吓傻了,0
女人不就是资源吗？不给男人花钱，你就是女拳师！不给男人花钱还要你干什么？,1
那你们反对说这些话的人去，也没人拦着，这跟现在女生觉得被柯洁冒犯也不冲突啊。,0
加油啊，离婚冷静期如果今年不修改，参考政策修改的惰性再改变起码要几十年。不能让这件事被淡化。（手动发送，如果重复，实在抱歉）。,0
肮脏的同性恋者🌈,1
陪酒都不是最可怕的，可怕的是那群男人往死里折腾，长的漂亮也不要长的性感！,1
卧槽，这么突然。他是早些年看韩剧为数不多记住名字的演员，《黄手帕》的郑英俊，《乞丐王子》的吕始宇。韩国娱乐圈怎么回事，去年还是前年的《人鱼小姐》男主也没了,0
哈哈哈哈哈哈哈哈哈哈真他妈下饭 嘴明明已经闭上了，可为什么还是感觉有稻往嘴里灌,0
很正常，如果这种蠢蛋没人关注了，说明大家的水准都提上去了，到时候也不需要上等人发言bot（虽然那一天很难到来）,0
新闻没错，错的是撰写人的口径。文人士大夫的笔，都是吃人的东西，怎么写这场游行，那是看新闻撰写人立场,0
真醉  最平常的会出现在rap中的词被挑出来攻击。。。。搞不懂,0
披女皮的男的特别多，我有次被个自称女权的女号骂了，特别胡搅蛮缠一口一个“我们女权”，点进他微博一看，转评都是些大胸露腿的肉图,1
虽然说群体现象不能代表所有人，肯定是会有三观正的人，但是目前为止我身边还真就没有一个人。我也不奢望能遇见了，一个人反倒更好。我们民族真的是重灾区,0
"不与暴力女权切割就是同流合污。//,有某些学院派女权不仅默许社会上的女权的语言暴力，甚至鼓励说“不给一点颜色看看，你不长记性！”这说明了女权者是鼓励暴力和颠覆社会体制的，并非意在良性改良社会。//",1
"而且，她每次拎出来鞭笞的梅丽尔斯特里普除了是Time's up法律辩护基金最大的捐赠人之一，也一直致力于平权(而且是早在米兔之前已一直积极推动)。所以套用一句妇女参政运动领导者Emmeline Pankhurst的话：""Deeds not Words"".莫坐而言，要起而行。",0
哈哈哈你不一样，那种需要实践的时候，该追求的不追求而纠结有的没的那些才让人恨铁不成钢,0
