comment_text,label
以后体育比赛分👨队、女队、👨转女队、女转👨队共四项金牌，如果是游泳、田径等项目…奥运会可赛一年，想想都激动。,0
"<username>没事儿，但是你的观点也没有问题，👩占决定性因素多点。,<username>是的，但是你说只有女性拥有.. 这样是不对的，我觉得可以说是女性是主要的行使权利的那一方。,<username>可是我百度了一下，这是双方的诶。 评论配图",1
你们不要忘了，这个禽兽在星星14岁的时候就强迫给她看se情片。如果你说星星的本质价值观或者别的方面有不足，那我希望你经历了这些之后你的三观没有变化。那您真厉害呢。,0
她们梦想的是女王式寄生虫生活，像女王一样高高在上地过着舒适的寄生生活，被现实把脸都打烂了都执迷不悟，甚至变本加厉歇斯底里,1
婚驴为男权添砖加瓦巩固男权，还当男人的胎器和后勤一起对付单女，难道不该骂吗？对敌人的仁慈就是对自己的残忍🤢。,1
握草强吻还不是过分的事？你还想做多过分的事😅？,0
女权：搞这个我能赚多少钱？什么？没有，滚！🤢,1
问题是现在社会很多人，包括很多女性自己，对女性价值认知就存在偏颇，比如居然认为只有在工作中创造出经济效益才叫有社会价值，而女性在家庭中创造的价值会被忽略，我觉得这种现象很奇怪，一边嚷嚷👨女平权，一边打着平权的名义绑架女性，既然是平权，首先要给女性各种自由选择的权利并尊重她的选择🤣,0
俺也是！本来没啥兴趣 但是看匪我思存发微博说有一条虐线 突然就兴趣大增 我是什么be爱好者🤢,0
"而且虽说孩子是自己的，但是能做到让家里老人完全不插手估计也挺难的，百分百要放弃工作在家里带娃了,这个而言现实生活中并不现实，如果婆婆真的不帮带小孩的话那就意味着小孩两岁前只能夫妻双方之中的一方放弃工作留在家中带小孩，一般来说不会是👨性吧，那女性要保住自己的工作就得叫娘家人来帮忙带小孩就会变成女方和女方家人在带孩子；或者女性放弃工作留在家中带两年孩子，那么问题来了",0
问题是…你描述的这种把钱花光光让男人使劲花钱，是极端女👊吗？,1
有一些方面我们会认为男👨‍🦰较有显着的优势阿。大概率下,1
被性侵的肯定不少，但是要么迫于别人有钱有权不敢说，要么就是就算说了也被压下来了……,0
再进一步，跳出性缘关系的想象。母权社会主体是母女传承。想像母亲们（姐妹关系）带着她们的女儿们自由构建社会。至于性对象，就跟你说的一样，谁都不会管，没有压力，自愿分合,0
女⭕️收境外势力钱这个梗我觉得起源就是玛丽女王拉皮****了，一直希望可以好好找一下证据，因为现在能搜到的全是那个什么什么怒发表的我好像捅了马蜂窝那篇文章，就实锤玛丽女王是女⭕️然后就说女⭕️收境外势力钱拉皮条了,0
可参考，金基德是有国际声誉的人，也陷入这样局面，丢人现眼，沦为笑柄。还有些等而下之，本来水平更低，更不入流的还想抵赖，还扬言要告受害者和揭露者。但哪里敢。近揭出的这些偷鸡摸狗的哪有一个敢告，都是耍无赖，想蒙混，但更显得荒唐滑稽，现在还出来装没事人，怎么可能，只是让人随便羞辱。😔,1
今天已经碰到好几个姿态优雅的否认自己“渴婚”和“维婚”，接着又说如果自己以后要结婚就blabla的了🙄,1
利益驱使，在他们自己看来，自己都没有错。但是他们没有保持理性的头脑。Cate当时沉默了那么久最后才在杂志采访中说出了一句yes轻描淡写的带过伤害，但让我知道了不做墙头草或者出头鸟有多么的艰难☹️,0
孩子是👩人决定随父姓的，这句话就很魔幻。反正我是没有见过单选题只有一个选项的,1
"我没有要吵架的意思，我只是想说，谁被压迫谁就会反抗，所以女生会说这个条款不能保护到女性。你们👨生要是觉得对你们也不好也可以反对啊，👨女本来有不同，我们的想法不能代表你们的。个人要在自己的位置发出自己的想法，没有农民代替工人发出抗议的，女生觉得对自己不利发出声音有错？,说什么营销号搞性别对立，你这不也是？还非要找家暴的……家暴的人他脸上写了吗？",0
"哦对我觉得他挺奇怪的…讲真你们之间想法差异这么大，真的相处不来就不要互相消耗了吧…况且这个👨的明显是想要找个结婚对象诶，选一个适合自己的不就好了，就算有问题也跟女朋友沟通啊。跑去吐槽有什么意义呢？而且改变/改造别人在我看来是挺烦的一件事情，两个成年人了，互相不适合就换个适合的呀…,不过我挺烦那个👨生才开始恋爱半年就开始考虑结婚以后别人的钱要怎么花这件事的…觉得有点想太多了,我是反婚，但我是反全世界的婚姻制度，但对想结婚的人一点意见都没有，个人选择自由。国内结婚对女生是很没保障的，很容易遭遇很多事情而且法律也不保护她们权益。所以选择步入婚姻必须要谨慎。不过这些都不代表“想要结婚选择婚姻就是loser”啊。没必要强加自己的想法到别人身上去。有些人就是不懂。",0
？👨性居多是因为很多👨性自己控制不住自己要跑去赌毒贪黑，所以才受害者多，咋？是女的逼着他们去赌毒贪黑了？？相反的，女性受害者大部分都是没做什么错事却被👨‍🦰给杀害了，请你认清现实,0
就算是完全反对父权的激进派女⭕️，核心思想也非反对婚姻制度。你对女⭕️和婚姻的理解都这么肤浅，却好意思在这里质疑人家官博？多读点书再来好吗？,0
鲍真正付出的也只有金钱吧，不过那些钱对他来说肯定不算什么。他深谙父权社会的社会规则、善于控制，才会用对他来说微小的钱以及他拥有的社会特权来操纵一个十四岁的女孩和她的家庭。👎🏾,1
不说热点，单指冠名权的问题，不如让孩子自己取......2020了，已经不需要姓来表现氏族和血缘了，但是不可否认，当前社会中（高亮！）女性对于孩子姓名可有可无，男性却很多要求一定是自己的姓，如果女性男性都可有可无那这事儿根本吵不起来,1
这样就能出轨了？你不满一不沟通二不离婚，花着老公的钱去享受别的男人带给你的温柔体贴，这算什么？ 这样居然就能将出轨正当化，真是让我想不到的。 网友们每每都能震惊到我🙄,1
父权上位时手段更夹杂着对女性的压抑和否定，人类历史上任何运动都带着矫枉过正，但是，总好过漂浮在这片死海。😪,0
“女性的劳动权与受教育权优先于继承权等财产权利，也优先于事实上的平等权与婚姻权”——这是因为共产主义的妇女解放甚至更广意义上“人的解放与全面发展”基础一直是如何在生产关系中确立劳动者的地位与权益。这也是申纪兰提倡同工同酬被树立成典型的原因，因为“劳动就是解放，斗争才有地位”。,0
再一次“以前他们只是抢我们的土地和财富，后来他们抢我们的身体和子宫，现在他们连我们的性别都要抢走了”,1
田园女权最终反抗的其实是自己的女性身份和生理特征，也就是反造物。她们拿子宫当成谈判筹码，又憎恨因为拥有子宫不得不生孩子这个事实，并把这个憎恨转嫁成对男性的加码要价。所谓的争女权，不就是和男人讨价还价，想卖个高价么🤢？,1
她们追求的不是平等，是反过来压迫男人。跟农民起义一样，不是要建立平等社会，是要建立新王朝。想压迫别人，又没有经济能力，只能靠性胁迫，一旦年老色衰就被扫地出门,0
第一个，不是一家人不进一家门。第二个，你开心就好。我已经不想再重复那么多遍远离垃圾理论了🤮，反正没什么人听，只能说他们开心就好，路是自己选的，让他们止损听不进去，那就跪着走完吧🙏,1
他以前宣传自己挺“真正女👊”的时候，发过校卡还是毕业证，嗯嗯，二本吧，没用心记是啥学校😅,1
哪怕社会地位是女性为强势也会出现这样的问题，因为与性别地位孰强孰弱无关，与人本身有关,1
本来就不喜欢蒂莫西，演技也就普普通通而已，不知道为什么那么多人喜欢他😅。,1
哈哈哈其实即使龙和刘关系好我也没什么，毕竟人是复杂的，可能他其他地方很好，在我看来严重的点可能在他们看来没什么大不了的，我只是觉得性别不同也能随时与女性共情，保持敏锐，同仇敌忾这样的要求太高了，我自己是不会这样去期待他俩😓,1
"如果宁不能理解我给宁举个例子。一个人去店里手脚不干净，拿了东西想要偷偷溜走，店主一看哎呀也没必要大动干戈，轻轻说了一句把东西放下，没有报警。宁的意思是这个人就应该下次接着偷因为店主没报警?这能是正常人的想法?如果第一次偷窃是情不自禁，被人阻止（哪怕是温和的）就应该学会停止了吧?,您能不能明白，一个心智正常的👨性，不会无缘无故去纠女生吊带，就像一个心智正常的女生不会无缘无故去扒拉👨生裤子,来了来了，又要完美受害者了？这么说杀人犯杀人都是受害者反抗的不够激烈呗?😪",0
我会贴乳贴。日常女⭕️对话总是会插一句保护好自己。不过要心存反叛🙏。,0
上大学时，一个舍友竟然还说直肠和阴道是同一个，我？？？？？？,0
"好累了好晚了睡觉吧，对身体好，对眼睛也好，不想看拉黑也行，你自己的微博嘛，我真的求生欲超级强烈的,怎么说呢，“说你娘就是****女”这种观点本身就很厌女。,<username> 修改一下，刚才打了三段字应该是连起来看的，写的急就有些混了。在需要做的不应该是不存在贬义这句里面去掉一个不字。",0
完全没关系呀！！我也超喜欢看哒~欢迎刷屏！！！ᕙ(`▿´)ᕗ,0
医生从来不该让病人选择，这在国内或许有，国外没可能。真危及母亲生命，哪怕阿拉巴马州的医生也是选择保母亲。但有的州太可怕，什么母亲想堕就堕，生一半，不想要了，也可以堕。这就不是保大，保小的问题了。,0
做到自己认为的专业，这跟不👩权有啥关系。她可能是跟👩的最过不去的，倒是对自己蛮宽松的。,1
就是，选择生孩子与结婚👰‍♀️都是个人自由选择，对于此类情况，我个人不喜欢那些人反对甚至歧视和自己选择不一样的人，比如：自己丁克但不爽别人生孩子，或者自己传统主义想要孩子但不爽别人丁克。他们自己选择就选择了，还不爽这个不爽那个干啥，太累了，负能量满满不好~,1
我个人认为👩受到的不公通常是强权对弱势的压迫，而拳师总是引出性别对立而不去真正的批判强权，通过对男性的贬低达到心理的平衡。而普通男性除了受强权的压迫外还要平白受女拳的闲气，这哪说理去？,1
"我也是。虽然我才粉过两个月但真的超级恶心，想疯狂去找别的男的洗下眼结果又找不到,现在火点的男的基本都丑死，漂亮点的都可能是母零🤗。我之前觉得陈坤可以但他黑矮还代孕已经转黑，还有演公孙策的赵阳但他故意整糙自己。罗云熙我真的觉得好看过（<username> 这其实我小号专门开来骂他",1
emmm我想...应该是一群人（不绝对），nh没有那么多的人还给你分两派，粉丝就那么一些，tc也一样。只是被带着节奏走，今天粉，明天骂。仅个人观点🙏,0
骑🫏看唱本，走着瞧呗，婚女还兴许活不到代孕合法那一天呢,1
还有聊斋，都是穷书生没钱没地位也没有女人，所以意淫出来的，无论相貌家世都喜欢他们穷****丝喜欢的不行不行的,1
不看这么多废话！男人领导一切就对了！女人不听话就拿鞭子抽😁,1
真的，他们听我句劝，别追了，指不定哪几个祖宗是野的🤮,1
重点是阿什利贾德才对啊，她直接推倒了韦恩斯坦😳,0
男同事对我说路边开的树有一股精液的味道，我说你说错了，这是臭椿，有怪味的是石楠🤢,1
是呢奥，你找👩权要婚👩的利益，跟你缠着理化生老师给你讲史地政一样，你说你是不是疯批？老师不一个大耳瓜子给你扇大明湖畔去都对不起容嬷嬷,1
"女孩子不读书嫁人了，一辈子也就这样了😔，👨孩子不读书打工肯定是只有辛苦的体力劳动多，家长没远见，也是生活所迫。,以前女子不仅物化还奴化，现在中国解放妇女地位是前所未有的提高了，但是这比较👨人还是女人活的更辛苦些，女人离婚后感觉失去了很多。。。👨的没什么损失",0
女权能干啥 转发微博和私信骂人罢了😒,1
划重点   刘强东在车上就想车震，司机熟视无睹，看来表面兄弟刘强东不是第一次干这个事，后来在寓所强行发生性行为，并且在被害人腹部及床单射精，   后女生报警，被抓时只穿了T恤衫，裤子还是警察给他穿的,1
彩礼这是本来就很jb扯 拿的少说活该被婆家不重视活该被看不起,0
"你要怼你👨我就快点 ？别一会崩一个跟诈尸似的？👨一天很忙？没时间和你这种孤儿较劲？？？你要听不懂人话回你母胎重造？？👨不多跟你废话？撕的你连你亲妈都不认识？,一上来就骂人？？可别 我可不承认 我一上来吐脏字了？您要硬说我吐了那我🐎的也不是人呀 ？人能听懂话？你能么？奥对我又忘了您没🐎 没人教你？叫一声👨。👨就教你做人的道理,笑死我了合着您是个985211的双一流鸡？？不是？您得是个博士才好意思怼天怼地怼人学业水平？你怼枪口上了知道么？咋的？对您这种孤儿还不能diss了？diss你就是小学生水平？你这逻辑谁教你的？奥对我是你👨你忘了吗？现在回去叫你🐎来管教你 奥对忘了你没有🐎 真是抱歉啊说中你伤心事了孤儿？,您的耳朵是被shi给堵住了？？看不见我提的意见？？？还是脑子被前天的鞭炮给炸飞了？？被人怼的分不清好赖话了？？？在这跟你👨bb啥呢？？？来？正面怼？？本来我只是提出我的观点哈？既然你这么欠🐎也别怪👨没管教好你,你好像有毛病？？？之前在叶昭柳惜音超话就最讨厌看你的文章.一是您的什么没移人设和叶昭之间实在恶心.二是您三观正么？？？骄傲自负您的文最好？我一个小透明也看不下去了好吧？",1
你能讲出哪怕一个除了反特朗普之外的共同诉求吗？不要提空洞的所谓“妇女权利”。伊斯兰女权体系里的妇女权力和你理解的一定不一样。,0
被人迫害的女性似乎只有一死才能证明自己的节烈。不死，就会让万人唾弃，就败坏了世风。但事实是，星星才是受害者。而伤害星星的人，有各种说辞，只求证明自己无罪恶。,1
: 追求平等，大家都能接受能讨论，但是想要额外的特权，还威胁？历史会证明👩性真心干不过👨人，逼急了，就会像阿拉伯伊朗一样，所有的平等是建立在绝对力量不介入的情况下实现的。撕开人性的面纱之后，👊头才是真理，你看到过哪个强国跟弱国讲道理,1
「她们是极端女权！！」 「她们做了什么？」 「她们说出了事实！」🤮,1
估计爹妈以为创造更好环境能让她扩充脑容量，结果这货全吃进肚子里变成不断增长的体重了叭,1
一看你就没有走过法律程序，不知道不了解可以选择不说，但是不要带节奏，崔没有想让你知道。抱歉可能我说的话有点过激了😒,0
一个来自持后现代女👊主义观点的我的人间观察,0
那天不是张嘴就“屌子”“大鼎”“蛆”等等。人家是既得利益者，该得利照旧得利，被骂两句又何妨，兜里又不会少钱🙄。,1
我今天才突然想到这个事的想看下微博关于这个运动的，结果居然只看到一个意大利女人什么性侵未成年👨孩。看来国内所有的都给删了。呵呵呵🤭,0
"而且，建议仔细读读我的意思，我不是说从性侵害中获利，而是指所谓的性侵害，其实只是当时获利的手段而已。,你把我的意思想简单了，我指的是，事后的“补偿”，我从来没有说先谈钱后被侵犯的情形，但是从法律的角度看，接受补偿，本身就是一种交易，构成交易对价可以弥补其损失的认可。不过目前中国没有这种法律制度，但在西方有一种制度叫做辩诉交易，可以了解一下。😅",0
是这样，本来上网就是和不认识的人快乐聊天，现在连个好好说话的地方都找不到了...前几年和观点不同的人吵架还是正常交流的范畴，现在一遇到不同看法马上就贴标签扣帽子骂一顿，根本无法有效沟通😔,0
确实  说人家离过婚   👶多  经常酒局   我擦  别人👶多就是你性骚扰别人的理由？  给自己洗白的时候还这幅德行   那背地里该咋样呢。。。。,0
还有各种法盲假文青为加害人开脱的 恶心死了💩,1
这位👩各种博同情各种仗势欺人各种歪曲事实 我觉得她的内心是有变态杀人狂倾向的，她的人格是分裂且扭曲的,1
"你不能够因为被强奸，乱伦，未成年未婚先孕等等情况而要求作为强者的男性去让渡权利而不去堕胎，这种法律上遥遥无期的事和肚子里一天天长大的胎儿，孰轻孰重？,你问我的话我的个人看法是除非在法定婚姻内需要丈夫协商同意之外，否则单身女性堕胎就是不需要证明😅",1
关键是有些女生还没子宫道德 结了婚脑子里自动长了个****,1
又见“凭什么空口白话就能毁掉一个一个👨‍🦰的事业”论。拜托，大众没有判断能力吗，为了取信不要披露足够多的细节吗？这个性骚扰指控被证为不当的，你以为是凭借什么？,0
"您果然是牙医 不长眼珠子的 我写的全篇哪有“包”字儿？你满头都是,你老婆背限量款铂金包，戴皇室珠宝，有私人飞机，使唤2个菲佣吗😌",1
你们讨论什么我是不清楚了，不过我前👨友出轨被发现后，喝酒恼羞成怒暴砸家里，玻璃炸伤我，算家暴吗？本人被气休克，民警都控制不了他还跟我提结婚收彩礼钱好替他还信用卡的这种人，现在人家依然有妹子死心塌地跟着他，然而他之前跟我共用一个id所以每个月还会收到他探探会员自动续费提醒,0
我不知道诶，反正反对一切女⭕️主义就对了，好多人不知道这个组织是干啥的，就盲目跟风🙏,0
女权婊和直男癌还有中间挑事儿的狗逼什么时候死？？？？？既然对对方恶意都这么滔天我奉劝都回家质问一下自己妈 为什么怀孕的时候没吃点药给自己生成个双性人呢毕竟有些男的看女的不顺眼有些女的看男的不顺眼那你一个人*****跟子宫都有了你是不是就可以消停了,1
“性”如此“肮脏”的字眼甚至可能存在于任何不足道的一言一行，即是原罪了，除非是想救赎的人，不然何必要表示得羞耻，唯一的答案也只有“无知”二字了,0
我认识3个不婚👨，反婚👨，一般三个月到半年换个女朋友。生活乐无边。,1
不懂感恩，爱慕虚荣，怕苦怕累，没有自知，所以才导致这些现象吧😮‍💨。,0
虽然怎么拿行李当事人没意见旁人也没啥好说的。但是两个人的行李男方🧔‍♂️多拿，或者男的全拿（如果不多）觉得正常不是很正常吗？男的力气比女的大那么多是用来干嘛的？,1
大军围城吃女人是因为剩下👨人要作战，而且最先吃的是小孩儿，不分👨女。人口不足，逼👨人生，🤵生的了？人口太多，👨性结扎输精管，没听过吗？👨童作恶，母亲失责？没听过，子不教父之过？继母虐待女童，难道大家不会斥责她爸？总结，受迫害妄想症。,0
按这标准，我不抽烟不喝酒不嫖娼不赌博不吸毒不打人不骂人不强奸不猥亵不出轨不劈腿有稳定工作，简直绝世好男人,1
哈哈哈哈我今天又刷到有人说起这事，我就想起那天的评论，真的呆了，一群憨憨学到了独立女性这个词就开始滥用👇,1
"这个人真有意思，整得律师多么高尚多么帮助女人似的，整得律师跟拯救婚内妇女的勇士一样，人家收钱打官司，男的离婚他也一样接，谁委托他打官司都一样的，收钱打官司而已，怎么不放帮男人打官司搞前妻的案例啊？放了怕掉粉吧,眼里只有小喽啰，大boss视而不见，男的说几句好听的就找不到北了，这样的最容易忽悠",1
女权运动和LGBT平权运动从来都是一体的，这是两个唇齿相依的社会议题。WE ARE STRONGER TOGETHER!,0
"我不是说没有 我见过 女同学为了点利益跟老师套近乎 叫老师爸,也会遇到出卖我抢我机会的男性😅",1
笑死了 一群左端智力还吵着女权👊拳师就是留皮哦,1
女⭕️不代表要和👨性彻底敌对吧……我指的是他们在平权的意识和追求上很团结，没有说他们一致敌对👨‍🦳。,0
"目前社会最赚钱的职业招聘也都限男优男。军警男人多，不是因为女人不肯干，而是不让👩干。,医院招聘优先男性,建议你看一下各医院的招聘公告，去找医学生了解一下录取情况。医院招聘也是优先男性，但警察消防军人招聘可是限男，哪怕招女性分数线也比男性高不少呢。",1
"不是针对你哈，是针对没脑子还随便代表女性的田园👩‍🦰。您想对号入座也可以的呢。,妄想一步登天，只会将为自己争取利益的行为放在虚拟的网络和幻想里的激进思想和现实世界中不经大脑只凭冲动而做的荒诞行为，一般都被叫做邪教。一个可持续发展且健康的理念没有坚实的理论基础与实践者们强大的行动力与奉献精神是难以为继的。至少激进的田园女权后面的条件都没有，倒是蛮像邪教。",1
因为这证明能一起吐槽的👨人没有能力，窝囊废才会这么吐槽啊！,1
他们把欧美对女性的歧视来怒怼我们中国，真是奇耻大辱😂。中国男女平等是世界上做的最好的，我党的一大贡献就是推行男女平等，解放了50%的人口的生产力。不像欧美，女人嫁人了要改姓丈夫家的姓！ 希拉里.克林顿！,1
5年撑不过去？身体不佳？强奸的时候没觉得自己哪儿哪儿不行呢🙅,1
就算女的原谅了 当时是自愿的 但是与13岁少女发生关系还是算强奸的🙃,0
二八定律，总会有人不幸福，👨‍🦰不幸福快乐的多了 但大多也就自己喝喝酒 抽一晚上的烟。合着男人就该做基础 然后让女人在这个基础上幸福快乐 远离不公和横眼就不做田园女权了？欠女人的吗。思维方法就有问题，如果选择男人做基础 想幸福快乐远离尘世纷扰  那么代价女性也要想清楚。,1
hhh我在国外每天都在学女⭕️主义，英国人民很注重这一方面的😄,0
刚看到铁丁理解成了铁打的丁丁，心想花衬衫恶霸这牛b吹的……,0
我从没说过科技发达等于智商高，你说人工智能发达👨女都受剥削我也不能理解是什么意思。你可以想一下不平等的出现是从什么开始的？ 动物离不开资源的分配问题，普通动物的基本需求就是自己不死再加上性，而人类完全不一样，涉及到的资源太复杂，在获得资源的过程中是哪些人在推动这些事情？别轻下定论🫣,0
大言不惭说人家是驴的，不知道ta是不是随ta爸姓，或者父母是不婚然后有孕把ta生出来的结果？！不然回家跟他爸谈谈改姓，再跟他妈谈谈说他妈是驴免费出卖子宫把ta生出来的，你就看你妈你爸闪不闪你嘴巴子就完了！牛逼吹的朗朗上口，吹牛逼之前问问自己父母这样吹行不行🤢？！,1
挺好的 正好不用看到刘亦菲跟男的腻歪,1
我觉得大宝说的这个情况仅限于婚姻或者说👨女双方共同育儿 可是人是母亲生的不是结婚证生的 女的可以买精生子单身生育啊 这样生育权就仅女性拥有了👩,0
第1个就说不通，父权话语下，优秀👩‍🦰走不到核心。,1
我也觉得很奇怪。美检方说犯罪既遂的是他们，说决定不起诉的也是他们… 玩的一手好舆论啊，是传媒专业毕业的吧他们～😘,1
每一个秉承【大事👨人说了算】的👩人，选举时无意识的把票投给👨人的👩人，同等条件下把升职机会让给👨人的👩人，都是职场中性侵的帮凶和伥鬼 别看了，就是你，生而为👩还厌👩的你,1
人是被逼出来的！因为受到太多女网友的伤害，受到她们的侮辱、谩骂，所以我就反击了………你不理解就算了😀,0
这个世界到底是怎么了？！为什么会有这么多人性的丑恶……为什么受伤害的都是女生……😭,0
我觉得那个路尼尼说的挺对的，我首页有她的快转。好像主要看到的也是她的。哦哦间歇我也刷到些在分析这类似事情的微博，推荐不了了，反正还是有啦😄,0
"现场同时支持穆斯林支持女权的人根本精神分裂,以后写的让她看得懂才不会被拉黑😪",1
那些自己做不到放下扛鼎就开除自己女权👊借的人，真的很无语。不小心当了驴次方而被中伤，自然要自己调整，这不是女权主义的错啊,1
你说的轻巧 很多女👊也没有伤人 那不叫黑化 那顶多叫极端防护措施,0
我觉得女权是，女人按照自己的心意选择自己的活法，不管生育和不生育都没问题👌,0
海王刚出来天天说长得好看啊这那的 殊不知当初跟德普结婚就是靠xx 出了名的德州表子 很不想用这个词但是这是她自己火之前用来形容她自己的 靠裸照😪博眼球 靠犯骚上位 真的挺绝一女的 满嘴谎言,1
渴男女想靠卖逼上位就要承担赌输的后果呗 她们重点才不是在代孕上面😊,1
只要你还为👩‍🦰发声，还为女性做事，你就算撕了标签，别人也还是会给你贴上女⭕️的标签啊。撕不撕意义不大，反正我就是极端女⭕️,0
别说女⭕️被污名化，我去年还不知道女⭕️是什么，都不知道这个存在，在QQ群指责一👨性发关于猥亵幼女漫图的时候，居然一个女的站出来说我小题大做,0
死灰复燃啊哈哈哈哈哈哈哈哈哈终于承认自己劣根屌丝基因是骨子里自带的🙄,1
我觉得那些呼吁冠姓权的女性应该先从自己做起，拿出家里户口本去派出所把自己姓改成自己母亲姓。别天天只在网上口****别人。,0
女权婊还是因为懒惰，自私所以要让好的女人全部学她们这样做，想男人宠她们和宠好女人一样。正常的男人都不会找女权婊，她们又不想改变自己所以让好女人变成她们自己这样就达到自己的目的🤬!,1
这叫道歉信吗？避重就轻，到死都在美化自己的行为😤,0
这倒没错，高等物理跟现实生活有差距，但并不妨碍人去做研究。但科学具有连续性也就是说，这十年百年后可以应用到现实上。而女权游行就是一个社会资源现实意义上的问题了。,0
看了微博，其实不管在哪，男性的犯罪率都是高于👩的。但请不要因此觉得天下乌鸦一般黑，这个社会终究还是好人占多数。希望可以放下成见理性对待，现实生活还是需要爱的，不管是亲情，爱情还是友情。,1
我现在是懒得和傻****女奴争论了，让他们活在自己的世界就好了，来乱吠的就马上拉黑,1
这个亲儿子长得和他👵的前👨友不能再像一点,0
看小说懂的，还有班里的👨会下流兮兮的给女生科普，不懂就查呗，慢慢就都懂了，大学跟老妈开始讨论有关话题，我妈告诉我，小说不可信,1
"给他们争取权利的不是女权是腐女，你该不会说腐女都女👊吧？连女同性恋都不是全部女权，腐女？,男同性恋🌈好吗？女同性恋在你眼里又隐身了",1
这种人就是奇葩，明眼可见的脑残，和性别可能没太大关系，性别只是她谋私的幌子罢了,0
"你又不是不知道法律法规的滞后性，大众的白眼🙄加鄙视足够把弱者的勇气杀死。米兔起码能在舆论上保护受害者，给受害者舆论上的支持。它保护的是万万千千平凡普通，欠缺勇气的弱者。你真以为法律能解决一切问题？为什么这么多受侵害女孩子之前不敢发声？是法律没规定惩罚强（奸犯吗？还不是因为舆论杀人！,哟，历史重复许多次，你还都能撵上？不寄希望于米兔，寄希望你这种喷子？你倒是给个想法啊？你还不如米兔呢！,一个特例就误入歧途了？人家法院不审判了？米兔之前，几个受害者敢站出来？米兔之后越来越多受害者敢站出来发声，而且，非常有效地提醒受害者案发一定要留好确切的证据。就是比什么都没有强。你揪着个特例来诋毁米兔，请问你有更好保护受害人的方法吗？没有请闭嘴好嘛",1
什么是直👨癌？现在连一个能准确说出定义的人都没有。您能拿着网络上发明的毫无根源性的词汇去做这样看起来严谨的推论也真的是脸大。,0
哈哈哈哈哈哈哈 笑死我了 还有和杨菊花八字不合梗🙊,1
骂婚男咋没用了，婚女一想婚姻生活虽然糟糕，至少网络上能求到心灵安慰，一堆人跟她同仇敌忾呢，再回归现实想到老公在网上被骂的狗血淋头，心中腾起奇异的满足感，竟有些愧疚，进而对老公产生怜惜，想离的心按了下去，这不就拯救了离婚率嘛😍,1
